Output,Input,Tone
144.9375,145.5375,91.5
146.6250,146.0250,91.5
146.6500,146.0500,91.5
146.6500,146.0500,123
146.6750,146.0750,88.5
146.6750,146.0750,91.5
146.6750,146.0750,123
146.7000,146.1000,91.5
146.7000,146.1000,123
146.7000,146.1000,141.3
146.7250,146.1250,91.5
146.7250,146.1250,123
146.7500,146.1500,91.5
146.7500,146.1500,123
146.7750,146.1750,91.5
146.7750,146.1750,123
146.8000,146.2000,91.5
146.8000,146.2000,123
146.8250,146.2250,91.5
146.8250,146.2250,94.8
146.8250,146.2250,103.5
146.8500,146.2500,91.5
146.8500,146.2500,123
146.8750,146.2750,91.5
146.8750,146.2750,123
146.9000,146.3000,91.5
146.9000,146.3000,123
146.9500,146.3500,91.5
146.9500,146.3500,123
146.9750,146.3750,91.5
146.9750,146.3750,123
147.0000,146.4000,91.5
147.0000,146.4000,123
147.0250,147.6250,91.5
147.0250,147.6250,123
147.0500,147.6500,91.5
147.0500,147.6500,123
147.0750,147.6750,91.5
147.0750,147.6750,123
147.1000,147.7000,91.5
147.1250,147.7250,91.5
147.1500,147.7500,91.5
147.1750,147.7750,91.5
147.2000,146.6000,91.5
147.2000,147.8000,123
147.2250,147.8250,91.5
147.2250,147.8250,118.8
147.2500,147.8500,91.5
147.2500,147.8500,123
147.2750,147.8750,91.5
147.3750,147.9750,123
147.3750,147.9750,91.5
147.4250,145.2250,91.5
147.8750,146.0750,123
147.9250,147.3250,123
147.9750,147.3750,141.3
